Tipo;Distrito;Cuartos;Vacantes;Suites;Area;Valor;Mantenimiento;Impuesto;Valor m2;Tipo Agrupado
Almacén;Villa El Salvador;0;6;0;2236;40000.0;0.0;0.0;17.89;Departamento
Almacén;San Miguel;0;3;0;1000;9800.0;0.0;820.0;9.8;Departamento
Almacén;Comas;0;0;0;550;4300.0;0.0;0.0;7.82;Departamento
Almacén;Puente Piedra;0;0;0;1096;12000.0;0.0;1771.0;10.95;Departamento
Almacén;Chaclacayo;0;3;0;404;15000.0;0.0;370.0;37.13;Departamento
Almacén;Lince;0;3;0;300;6000.0;0.0;0.0;20.0;Departamento
Almacén;Lince;0;0;0;1000;8000.0;0.0;0.0;8.0;Departamento
Almacén;Punta Negra;0;20;0;1100;16000.0;0.0;2435.0;14.55;Departamento
Almacén;San Isidro;0;0;0;850;8500.0;0.0;0.0;10.0;Departamento
Almacén;La Punta;0;0;0;2000;30000.0;0.0;0.0;15.0;Departamento
Almacén;San Miguel;0;0;0;1000;9800.0;0.0;630.0;9.8;Departamento
Almacén;Ancón;0;0;0;190;3600.0;0.0;291.0;18.95;Departamento
Almacén;Lince;0;0;0;1599;30394.0;4399.0;1199.0;19.01;Departamento
Almacén;San Juan de Miraflores;0;14;0;590;15000.0;0.0;0.0;25.42;Departamento
Almacén;Lince;0;0;0;400;7000.0;0.0;0.0;17.5;Departamento
Almacén;San Miguel;0;60;0;700;9900.0;0.0;0.0;14.14;Departamento
Almacén;La Punta;0;0;0;2170;40000.0;0.0;2784.0;18.43;Departamento
Almacén;La Perla;0;8;0;1981;39630.0;7928.0;2377.0;20.01;Departamento
Almacén;Rímac;0;0;0;1695;30000.0;0.0;0.0;17.7;Departamento
Almacén;Lince;0;0;0;700;15000.0;0.0;1184.0;21.43;Departamento
Almacén;Ventanilla;0;0;0;286;4000.0;0.0;0.0;13.99;Departamento
Almacén;Callao;0;2;0;631;8000.0;0.0;554.0;12.68;Departamento
Almacén;Santa Rosa;0;0;0;600;8000.0;0.0;500.0;13.33;Departamento
Almacén;Lima;0;0;0;800;8000.0;0.0;0.0;10.0;Departamento
Almacén;Independencia;0;0;0;1170;14310.0;0.0;0.0;12.23;Departamento
Almacén;Ventanilla;0;0;0;1800;25000.0;0.0;0.0;13.89;Departamento
Almacén;San Miguel;0;0;0;1000;9800.0;0.0;7500.0;9.8;Departamento
Almacén;Lima;0;0;0;2800;30000.0;0.0;1800.0;10.71;Departamento
Almacén;La Molina;0;0;0;600;9000.0;0.0;0.0;15.0;Departamento
Almacén;Independencia;0;8;0;1000;18000.0;0.0;1500.0;18.0;Departamento
Almacén;Lima;0;0;0;420;3800.0;0.0;460.0;9.05;Departamento
Almacén;Ate;0;0;0;500;12000.0;0.0;0.0;24.0;Departamento
Almacén;Puente Piedra;0;0;0;344;5000.0;0.0;0.0;14.53;Departamento
Almacén;Chaclacayo;0;1;0;350;7000.0;350.0;300.0;20.0;Departamento
Almacén;Lince;0;0;0;2300;15000.0;0.0;2000.0;6.52;Departamento
Almacén;Santa Rosa;0;0;0;203;2000.0;0.0;172.0;9.85;Departamento
Almacén;La Punta;0;0;0;500;17700.0;0.0;212.0;35.4;Departamento
Almacén;Chaclacayo;0;0;0;180;3900.0;0.0;0.0;21.67;Departamento
Almacén;La Punta;0;0;0;960;20000.0;0.0;2800.0;20.83;Departamento
Almacén;San Miguel;0;0;0;1000;9800.0;0.0;63.0;9.8;Departamento
Almacén;La Perla;0;8;0;2035;44000.0;13142.0;1116.0;21.62;Departamento
Almacén;El Agustino;0;50;0;4000;24500.0;0.0;1500.0;6.12;Departamento
Almacén;Villa El Salvador;0;0;0;1000;20000.0;0.0;0.0;20.0;Departamento
Almacén;San Luis;0;0;0;893;33934.0;5340.0;3107.0;38.0;Departamento
Almacén;San Isidro;0;0;0;4000;39000.0;0.0;4000.0;9.75;Departamento
Almacén;Punta Negra;0;0;0;400;5500.0;0.0;0.0;13.75;Departamento
Almacén;San Luis;0;10;0;1209;14000.0;0.0;5100.0;11.58;Departamento
Almacén;Santa Rosa;0;0;0;970;9000.0;0.0;110.0;9.28;Departamento
Almacén;Santa Rosa;0;0;0;600;6000.0;0.0;465.0;10.0;Departamento
Almacén;Punta Negra;0;39;0;2107;30000.0;0.0;6685.0;14.24;Departamento
Almacén;El Agustino;0;0;0;680;9000.0;0.0;0.0;13.24;Departamento
Almacén;Mi Perú;0;2;0;493;19000.0;2572.0;454.0;38.54;Departamento
Almacén;Punta Negra;0;0;0;1000;13000.0;0.0;1625.0;13.0;Departamento
Almacén;Lince;0;0;0;387;6000.0;0.0;0.0;15.5;Departamento
Almacén;Chaclacayo;0;0;0;400;7000.0;0.0;34.0;17.5;Departamento
Almacén;Chaclacayo;0;0;0;500;8000.0;0.0;0.0;16.0;Departamento
Almacén;Chaclacayo;0;0;0;2340;15000.0;0.0;2656.0;6.41;Departamento
Almacén;El Agustino;0;0;0;700;12000.0;0.0;0.0;17.14;Departamento
Almacén;Jesús María;0;0;0;5000;21000.0;0.0;5100.0;4.2;Departamento
Almacén;Los Olivos;1;0;0;2100;15000.0;0.0;21000.0;7.14;Departamento
Almacén;Surquillo;0;15;0;1640;25000.0;1.0;0.0;15.24;Departamento
Almacén;La Molina;0;5;0;700;22000.0;0.0;410.0;31.43;Departamento
Almacén;Ventanilla;0;50;0;6100;50000.0;0.0;7300.0;8.2;Departamento
